sessionnumb  20260924122212 
15 16 477 [ [ -2, 15 ], [ 1, 86 ], [ 3, 124 ] ] 
16 17 406 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
17 18 474 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
15 16 402 [ [ -2, 15 ], [ 1, 106 ], [ 3, 104 ] ] 
16 17 594 [ [ -2, 16 ], [ 1, 106 ], [ 3, 134 ] ] 
16 17 486 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
16 17 486 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
17 18 536 [ [ -2, 17 ], [ 1, 130 ], [ 3, 142 ] ] 
17 18 473 [ [ -2, 17 ], [ 1, 132 ], [ 3, 140 ] ] 
16 17 475 [ [ -2, 16 ], [ 1, 144 ], [ 3, 96 ] ] 
16 17 480 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
16 17 551 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
15 16 410 [ [ -2, 15 ], [ 1, 116 ], [ 3, 94 ] ] 
16 17 476 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
16 17 403 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
17 18 448 [ [ -2, 17 ], [ 1, 112 ], [ 3, 160 ] ] 
15 16 405 [ [ -2, 15 ], [ 1, 114 ], [ 3, 96 ] ] 
17 18 526 [ [ -2, 17 ], [ 1, 116 ], [ 3, 156 ] ] 
16 17 522 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
16 17 532 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
15 16 407 [ [ -2, 15 ], [ 1, 100 ], [ 3, 110 ] ] 
16 17 415 [ [ -2, 16 ], [ 1, 130 ], [ 3, 110 ] ] 
15 16 437 [ [ -2, 15 ], [ 1, 88 ], [ 3, 122 ] ] 
16 17 443 [ [ -2, 16 ], [ 1, 100 ], [ 3, 140 ] ] 
17 18 1067 [ [ -2, 17 ], [ 1, 128 ], [ 3, 144 ] ] 
16 17 419 [ [ -2, 16 ], [ 1, 110 ], [ 3, 130 ] ] 
16 17 481 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
15 16 444 [ [ -2, 15 ], [ 1, 102 ], [ 3, 108 ] ] 
16 17 471 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
17 18 614 [ [ -2, 17 ], [ 1, 122 ], [ 3, 150 ] ] 
15 16 494 [ [ -2, 15 ], [ 1, 98 ], [ 3, 112 ] ] 
16 17 575 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
17 18 716 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
16 17 424 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
16 17 548 [ [ -2, 16 ], [ 1, 106 ], [ 3, 134 ] ] 
16 17 470 [ [ -2, 16 ], [ 1, 114 ], [ 3, 126 ] ] 
15 16 410 [ [ -2, 15 ], [ 1, 100 ], [ 3, 110 ] ] 
16 17 547 [ [ -2, 16 ], [ 1, 118 ], [ 3, 122 ] ] 
17 18 700 [ [ -2, 17 ], [ 1, 118 ], [ 3, 154 ] ] 
16 17 517 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
16 17 433 [ [ -2, 16 ], [ 1, 108 ], [ 3, 132 ] ] 
17 18 463 [ [ -2, 17 ], [ 1, 126 ], [ 3, 146 ] ] 
15 16 416 [ [ -2, 15 ], [ 1, 94 ], [ 3, 116 ] ] 
