sessionnumb  20260924122207 
16 17 402 [ [ -2, 16 ], [ 1, 132 ], [ 3, 108 ] ] 
17 18 465 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
15 16 438 [ [ -2, 15 ], [ 1, 92 ], [ 3, 118 ] ] 
16 17 570 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
17 18 589 [ [ -2, 17 ], [ 1, 156 ], [ 3, 116 ] ] 
15 16 435 [ [ -2, 15 ], [ 1, 106 ], [ 3, 104 ] ] 
15 16 405 [ [ -2, 15 ], [ 1, 104 ], [ 3, 106 ] ] 
16 17 622 [ [ -2, 16 ], [ 1, 120 ], [ 3, 120 ] ] 
17 18 516 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
15 16 421 [ [ -2, 15 ], [ 1, 92 ], [ 3, 118 ] ] 
15 16 498 [ [ -2, 15 ], [ 1, 98 ], [ 3, 112 ] ] 
15 16 462 [ [ -2, 15 ], [ 1, 122 ], [ 3, 88 ] ] 
16 17 464 [ [ -2, 16 ], [ 1, 130 ], [ 3, 110 ] ] 
16 17 624 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
16 17 550 [ [ -2, 16 ], [ 1, 128 ], [ 3, 112 ] ] 
17 18 1007 [ [ -2, 17 ], [ 1, 142 ], [ 3, 130 ] ] 
15 16 403 [ [ -2, 15 ], [ 1, 124 ], [ 3, 86 ] ] 
17 18 420 [ [ -2, 17 ], [ 1, 132 ], [ 3, 140 ] ] 
16 17 469 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
16 17 467 [ [ -2, 16 ], [ 1, 116 ], [ 3, 124 ] ] 
15 16 402 [ [ -2, 15 ], [ 1, 128 ], [ 3, 82 ] ] 
16 17 617 [ [ -2, 16 ], [ 1, 140 ], [ 3, 100 ] ] 
16 17 617 [ [ -2, 16 ], [ 1, 140 ], [ 3, 100 ] ] 
17 18 1218 [ [ -2, 17 ], [ 1, 154 ], [ 3, 118 ] ] 
15 16 402 [ [ -2, 15 ], [ 1, 112 ], [ 3, 98 ] ] 
16 17 402 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
16 17 415 [ [ -2, 16 ], [ 1, 136 ], [ 3, 104 ] ] 
16 17 595 [ [ -2, 16 ], [ 1, 128 ], [ 3, 112 ] ] 
16 17 578 [ [ -2, 16 ], [ 1, 124 ], [ 3, 116 ] ] 
15 16 408 [ [ -2, 15 ], [ 1, 114 ], [ 3, 96 ] ] 
17 18 482 [ [ -2, 17 ], [ 1, 152 ], [ 3, 120 ] ] 
16 17 434 [ [ -2, 16 ], [ 1, 128 ], [ 3, 112 ] ] 
15 16 520 [ [ -2, 15 ], [ 1, 110 ], [ 3, 100 ] ] 
17 18 840 [ [ -2, 17 ], [ 1, 154 ], [ 3, 118 ] ] 
15 16 404 [ [ -2, 15 ], [ 1, 98 ], [ 3, 112 ] ] 
17 18 1091 [ [ -2, 17 ], [ 1, 152 ], [ 3, 120 ] ] 
16 17 429 [ [ -2, 16 ], [ 1, 138 ], [ 3, 102 ] ] 
16 17 426 [ [ -2, 16 ], [ 1, 138 ], [ 3, 102 ] ] 
17 18 664 [ [ -2, 17 ], [ 1, 154 ], [ 3, 118 ] ] 
16 17 415 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
16 17 495 [ [ -2, 16 ], [ 1, 144 ], [ 3, 96 ] ] 
16 17 415 [ [ -2, 16 ], [ 1, 138 ], [ 3, 102 ] ] 
17 18 661 [ [ -2, 17 ], [ 1, 134 ], [ 3, 138 ] ] 
16 17 520 [ [ -2, 16 ], [ 1, 112 ], [ 3, 128 ] ] 
16 17 572 [ [ -2, 16 ], [ 1, 122 ], [ 3, 118 ] ] 
15 16 465 [ [ -2, 15 ], [ 1, 112 ], [ 3, 98 ] ] 
16 17 428 [ [ -2, 16 ], [ 1, 126 ], [ 3, 114 ] ] 
17 18 494 [ [ -2, 17 ], [ 1, 140 ], [ 3, 132 ] ] 
